Lower tier local authorities Code,Lower tier local authorities,Occupation (current) (105 categories) Code,Occupation (current) (105 categories),Observation
E06000043,Brighton and Hove,-8,Does not apply,137812
E06000043,Brighton and Hove,1,111 Chief executives and senior officials,966
E06000043,Brighton and Hove,2,112 Production managers and directors,2245
E06000043,Brighton and Hove,3,113 Functional managers and directors,6273
E06000043,Brighton and Hove,4,"114 Directors in logistics, warehousing and transport",37
E06000043,Brighton and Hove,5,115 Managers and directors in retail and wholesale,2248
E06000043,Brighton and Hove,6,116 Senior officers in protective services,57
E06000043,Brighton and Hove,7,117 Health and social services managers and directors,793
E06000043,Brighton and Hove,8,121 Managers and proprietors in agriculture related services,93
E06000043,Brighton and Hove,9,122 Managers and proprietors in hospitality and leisure services,2321
E06000043,Brighton and Hove,10,123 Managers and proprietors in health and care services,425
E06000043,Brighton and Hove,11,"124 Managers in logistics, warehousing and transport",454
E06000043,Brighton and Hove,12,125 Managers and proprietors in other services,3787
E06000043,Brighton and Hove,13,211 Natural and social science professionals,419
E06000043,Brighton and Hove,14,212 Engineering professionals,1340
E06000043,Brighton and Hove,15,213 Information technology professionals,4980
E06000043,Brighton and Hove,16,214 Web and multimedia design professionals,1222
E06000043,Brighton and Hove,17,215 Conservation and environment professionals,302
E06000043,Brighton and Hove,18,216 Research and development (R&D) and other research professionals,619
E06000043,Brighton and Hove,19,221 Medical practitioners,1930
E06000043,Brighton and Hove,20,222 Therapy professionals,1750
E06000043,Brighton and Hove,21,223 Nursing and midwifery professionals,2874
E06000043,Brighton and Hove,22,224 Veterinarians,96
E06000043,Brighton and Hove,23,225 Other health professionals,1326
E06000043,Brighton and Hove,24,231 Teaching and other educational professionals,7127
E06000043,Brighton and Hove,25,232 Other educational professionals,1341
E06000043,Brighton and Hove,26,241 Legal professionals,1069
E06000043,Brighton and Hove,27,242 Finance professionals,1781
E06000043,Brighton and Hove,28,"243 Business, research and administrative professionals",2373
E06000043,Brighton and Hove,29,244 Business and financial project management professionals,1309
E06000043,Brighton and Hove,30,"245 Architects, chartered architectural technologists, planning officers, surveyors and construction professionals",880
E06000043,Brighton and Hove,31,246 Welfare professionals,1091
E06000043,Brighton and Hove,32,247 Librarians and related professionals,169
E06000043,Brighton and Hove,33,248 Quality and regulatory professionals,640
E06000043,Brighton and Hove,34,249 Media professionals,1840
E06000043,Brighton and Hove,35,"311 Science, engineering and production technicians",784
E06000043,Brighton and Hove,36,"312 CAD, drawing and architectural technicians",336
E06000043,Brighton and Hove,37,313 Information technology technicians,1243
E06000043,Brighton and Hove,38,321 Health associate professionals,691
E06000043,Brighton and Hove,39,322 Welfare and housing associate professionals,1734
E06000043,Brighton and Hove,40,323 Teaching and childcare associate professionals,1074
E06000043,Brighton and Hove,41,324 Veterinary nurses,79
E06000043,Brighton and Hove,42,331 Protective service occupations,911
E06000043,Brighton and Hove,43,"341 Artistic, literary and media occupations",5004
E06000043,Brighton and Hove,44,342 Design occupations,777
E06000043,Brighton and Hove,45,343 Sports and fitness occupations,934
E06000043,Brighton and Hove,46,351 Transport associate professionals,165
E06000043,Brighton and Hove,47,352 Legal associate professionals,260
E06000043,Brighton and Hove,48,353 Finance associate professionals,949
E06000043,Brighton and Hove,49,354 Business associate professionals,1646
E06000043,Brighton and Hove,50,"355 Sales, marketing and related associate professionals",4769
E06000043,Brighton and Hove,51,356 Public services associate professionals,243
E06000043,Brighton and Hove,52,"357 HR, training and other vocational associate guidance professionals",1811
E06000043,Brighton and Hove,53,358 Regulatory associate professionals,211
E06000043,Brighton and Hove,54,411 Administrative occupations: Government and related organisations,971
E06000043,Brighton and Hove,55,412 Administrative occupations: Finance,1987
E06000043,Brighton and Hove,56,413 Administrative occupations: Records,1347
E06000043,Brighton and Hove,57,414 Administrative occupations: Office managers and supervisors,986
E06000043,Brighton and Hove,58,415 Other administrative occupations,2586
E06000043,Brighton and Hove,59,421 Secretarial and related occupations,2467
E06000043,Brighton and Hove,60,511 Agricultural and related trades,890
E06000043,Brighton and Hove,61,"521 Metal forming, welding and related trades",92
E06000043,Brighton and Hove,62,"522 Metal machining, fitting and instrument making trades",400
E06000043,Brighton and Hove,63,523 Vehicle trades,450
E06000043,Brighton and Hove,64,524 Electrical and electronic trades,1263
E06000043,Brighton and Hove,65,"525 Skilled metal, electrical and electronic trades supervisors",85
E06000043,Brighton and Hove,66,531 Construction and building trades,3216
E06000043,Brighton and Hove,67,532 Building finishing trades,1177
E06000043,Brighton and Hove,68,533 Construction and building trades supervisors,115
E06000043,Brighton and Hove,69,541 Textiles and garments trades,203
E06000043,Brighton and Hove,70,542 Printing trades,105
E06000043,Brighton and Hove,71,543 Food preparation and hospitality trades,2354
E06000043,Brighton and Hove,72,544 Other skilled trades,404
E06000043,Brighton and Hove,73,611 Teaching and childcare support occupations,2255
E06000043,Brighton and Hove,74,612 Animal care and control services,302
E06000043,Brighton and Hove,75,613 Caring personal services,6125
E06000043,Brighton and Hove,76,621 Leisure and travel services,1128
E06000043,Brighton and Hove,77,622 Hairdressers and related services,1156
E06000043,Brighton and Hove,78,623 Housekeeping and related services,680
E06000043,Brighton and Hove,79,624 Cleaning and housekeeping managers and supervisors,274
E06000043,Brighton and Hove,80,625 Bed and breakfast and guest house owners and proprietors,26
E06000043,Brighton and Hove,81,631 Community and civil enforcement occupations,129
E06000043,Brighton and Hove,82,711 Sales assistants and retail cashiers,6013
E06000043,Brighton and Hove,83,712 Sales related occupations,301
E06000043,Brighton and Hove,84,713 Shopkeepers and sales supervisors,1393
E06000043,Brighton and Hove,85,721 Customer service occupations,2355
E06000043,Brighton and Hove,86,722 Customer service supervisors,81
E06000043,Brighton and Hove,87,811 Process operatives,289
E06000043,Brighton and Hove,88,812 Metal working machine operatives,62
E06000043,Brighton and Hove,89,813 Plant and machine operatives,139
E06000043,Brighton and Hove,90,814 Assemblers and routine operatives,382
E06000043,Brighton and Hove,91,815 Construction operatives,526
E06000043,Brighton and Hove,92,"816 Production, factory and assembly supervisors",85
E06000043,Brighton and Hove,93,821 Road transport drivers,3241
E06000043,Brighton and Hove,94,822 Mobile machine drivers and operatives,155
E06000043,Brighton and Hove,95,823 Other drivers and transport operatives,256
E06000043,Brighton and Hove,96,911 Elementary agricultural occupations,73
E06000043,Brighton and Hove,97,912 Elementary construction occupations,615
E06000043,Brighton and Hove,98,913 Elementary process plant occupations,290
